id,title,date,content
28,Noční,pátek 8. března 2013,"Noc je jak černě počmáraný list
– jen občas lampa zabliká –
v ní abych mohla lépe číst
dřív, než ji k ránu světlo spolyká.

Hvězdy se pomalu točí
kolem své vlastní osy
ze tmy mžourají tisíce očí
a mezi nimi chybí nosy.

Netopýr ke svým průzkumným cestám
roztáhnout myší křídla musí,
prolétne kolem mě směrem z města,
rozvíří tmu, která dusí.

Noc je tak chladná jako čepel nože
– jen občas lampa zabliká –
vystoupí ke mě jako vlna z moře
a smutně se mě dotýká…"
29,Racek,pátek 15. března 2013,"Být rackem, letět daleko,
daleko k neklidnému moři,
mít jenom peří, letět nalehko
tam, kde slunce jako oheň hoří.

A potom dál až za moře,
zvednout se z oběžné dráhy,
navštívit hvězdy nahoře,
optat se, zda jsou zdrávy.

Neohlížet se nikdy zpátky,
zanechat dole na Zemi
minulost plnou jinovatky,
zamknout ji někde v přízemí.

Více se nedat strávit vášní,
raději pírka nežli víru ztrácet,
a nikdy nepochopit tvory zvláštní,
kterým sny dají příliš mnoho práce.

Za slovy nikdy nehledat, co není,
smetí si neplést se stříbrem,
utopit beznaděje v oceánu snění.
Já, osamělý racek, plachtím vesmírem."
30,Řez,sobota 9. března 2013,"Bolestné svítání,
na trávě jinovatka,
řez nožem do dlaní,
pomsta je tak sladká.
Za můj hřích,
za vášeň neskrývanou,
ptáci se smějí ve větvích,
z očí slzy kanou.
Tak trestá svět ty,
kdo neskrývají touhy,
srdce se mrská na dlaních
a řez je rovný, dlouhý."
31,Síla,pátek 29. března 2013,"Má síla je jen rozhoupaná loď,
opilý lodivod kormidlem otáčí,
nahni se nad vodu, lano mi hoď,
až vítr smete mě tam, kde nestačím.

Podej mi ruku a pevně ji chyť,
ať Tvůj sladký hlas v srdci mi zní,
jen v Tvých očích mrholí měsíční třpyt,
dám Ti svou lásku, síla je v ní."
32,Snídaně,neděle 31. března 2013,"Měsíc je bledý jak svitek pergamenu,
hřeben se noří do pramenů
mých vlasů, když je před usnutím
splývat po ramenou nutím.
Očima v té měsíční záři
představuji si, jak se tváříš,
když krasopisem na povrchu měsíce
necháš mi vzkaz a v nebi světel tisíce
jak sladkých teček za větami
září a pod nimi jsme my dva sami…
Čtu dopis psaný písmem psacím,
ve snech se potom k němu vracím
a zní mi krásně, zní mi zvláštně,
je to můj tajný šálek vášně.
Ráno pak sedím u snídaně v tričku,
slůvka mi stečou do hrníčku."
33,Spořivá,pondělí 25. března 2013,"Chtěli bychom létat jako ptáci…
jak vlaštovky, které se s jarem vrací.
Zatím…
šetříme dechem, šetříme časem,
šetříme láskou, svázáni lasem,
nemáme sebe pro samou práci,
nemáme nic, ani inspiraci.
A přitom stačí nastavit dlaně,
droboučká vločka snese se na ně –
myšlenka, nápad tvořený vzduchem,
kratičký nápěv zaznívá uchem.
Stačí se zasnít, zastavit chvíli,
uvidíš na dlažbě tancovat víly.
Každý má tolik, kolik chce cítit,
kolik se rozhodne z života chytit.
Neumím šetřit penězi, natož city,
do čela jasný osud mám vrytý.
Nešetřím láskou, kroky či slovy,
snad přijdou někomu vhod… kdo ví?
Únava doráží jak šelma dravá,
pro mě je tahle smrt jistě ta pravá.
Až potom přijdou mi náhrobek setřít,
napsáno bude: neuměla (se) šetřit…"
34,Vaření,čtvrtek 14. března 2013,"Rukama ze vzduchu lovím si slova,
potom je navlékám na tenkou šňůrku,
prsty je třídím, prohlížím znova,
loupu z nich starou nevzhlednou kůrku.

Když jsou tam všechny, mám dlouhý pruh,
zbytky slov shrnu do zásuvky stolu,
uzlíkem zavážu, uzavřu kruh,
Tobě je pošeptám, až budeme spolu…"
35,Večer,pátek 1. března 2013,"Když slunce zapadá a
za horou se ztrácí,
do večerního zpěvu žab
září plameňáci.

Na štíhlých nohách
něžné sametové peří
čechrají zobáky.
Čas naděje, kdy člověk věří,

že jednou opět spatří
záři, která se na oko tváří
jak růžové peří plameňáků,
o které tvrdí jenom lháři,

že není, že existuje jenom v snění
něžná a čistá, jak křídla bělásků.
Ať umřou bez ní, malověrní,
já umřu s ní a nebo pro ni, pro lásku…"
36,Vzpomínky,pátek 8. března 2013,"V oblacích ve tvaru draka
je vepsaný můj další osud.
Tvá vůně sladce obojaká,
kterou dýchala jsem dosud,
ztrácí se za posledním rohem
mé tajné noční výpravy.
Pod okny stojím, dávám Ti sbohem,
zhasíná okno, mizí Tvůj obrys mlhavý.
V objetí Tvých paží cítím se křehká..
Samota myšlenek je moje daň.
Vzpomínek na Tebe dotýkám se zlehka,
opatrně, jak otevřených ran.."
37,Ztracená,středa 27. března 2013,"O zeď opřená
v ztracené uličce vpitá do kamení,
skloněnou hlavu jak hříšník,
co čeká rozhřešení.
S očima dokořán o Tobě sním
a to se nemá.
Na pár okamžiků
zmizíme spolu do ztracena.
Až se mě dotkneš,
zcela jistě vím,
jak pečetní vosk
se roztavím.
Stačí Tvá vůně, dotek pouhý,
jsi věčná inspirace, můj anděl touhy.
Sedím tu na schodech, čekám na anděla,
v ztracené uličce … ztracená zcela."
38,Čápi,čtvrtek 4. dubna 2013,"Kroužili pod nebem, kroužili
dva sametoví černí čápi.
Mávám jim vzhůru na pozdrav
a oni, zda prý mě něco trápí…

Povídám, závidím vám,
vám, čarokřídlým ptákům,
křídly se něžně smíte dotýkat
a létat spolu k mrakům…

Já dotknout se Tě nesmím,
smím jen na ztvrdlé zemi stát,
dívat se za černými čápy,
mít zmrzlé prsty, čekat listopad…"
39,Chci,pondělí 22. dubna 2013,"Chci věřit v červnové svítání
Chci usínat s kouzelným kamínkem u srdce
Lehce Tě pohladit po skráni
Políbit bolístku, co nosíš na ruce

Chci zavřít oči a spatřit Tě pod víčky
Přinést Ti v náruči kytici bodláků
Do písku obrázek načmárat malíčky
Dýchat Tvou vůni a smát se Tvým rozpakům

Chtěla bych stát se leknínem na vodách
Chci být Tvým polštářem, když večer zíváš
Obejmout Tě a nepustit k Tobě strach
Chci sladkou písní být, kterou zpíváš"
40,Chodníčky,neděle 14. dubna 2013,"Hledal jsi anděla
– našel jsi světlonoše
Amor ho poranil
– trénoval střelbu z kuše.
Snad býval sám andělem
a peří ztratil v bouřích,
bloudil tmou s lucernou,
plavil se v temných mořích…

Někdy jsou chodníčky života
úzké a zamotané,
často se míjíme, za kliku bereme
každý na jiné straně.
Něco Ti zašeptá nahlédnout klíčovou dírkou
na chvilku pouhou,
tam: Oko – zamrká rozpaky,
vpíjí se do Tvého, chvěje se touhou…."
41,Harfa,sobota 20. dubna 2013,"Tělo je harfou mojí duše,
struny se chvěly, tys usedl a hrál,
srdce jsem cítila, jak kluše,
nabírá rychlost, klus mění se v cval.

Ten pohled bezedný mě dožene.
Ústy jsi nesliboval nic,
mé zorničky tak překvapené,
když prozradil jsi víc…

Tvé prsty pak svou něhu skryly
chladné a cizí hrály studeněji
a struny praskly, jen některé mi zbyly,
nevím nic, nic nevím o naději.

Pak už jen ticho, ani pár vět,
jen slzy střídám s nádechem.
Tak tedy končí svět, tak končí svět.

Bez velkého třesku, jen s tichým povzdechem."
42,Hledání,neděle 7. dubna 2013,"Blýská se na časy
déšť barvy odplavil
v klubíčku nejistot
v tomhletom počasí
snažím se ze všech sil
vyhledat světlý bod.

Jestli mi rozumíš
v mém smutném tápání
dej mi nějak znamení
třeba jen na chvíli
peříčko holubí
vtiskni mi do dlaní…"
43,Jaro,pondělí 8. dubna 2013,"Zima už troubí k ústupu,
když v háji trhám petrklíče,
jaro se vznáší ve vzduchu,
děti si venku hází s míčem.

Všechno se v slunci tetelí,
sousedů kluk mlsá polárku
a dva milenci nesmělí
vtančili spolu do parku.

Příroda křičí: ""Jaro přišlo k vám!""
a já teď náhle nevím…
Ač pod oknem mi kvete rudý tulipán,
nevím, proč na srdci cítím divnou tíhu,
jako když vlaštovky odlétají k jihu."
44,Jediná,středa 24. dubna 2013,"Alespoň jednou bych si přála,
aby na jedné ze svých cest
můj tulák ze snů, utkaný z hvězd,
mne objal, aby mu v očích touha hrála.

Jen jednu noc snít v teple jeho objetí.
Chtěla bych vědět, jaképak to je,
nechat se spoutat jeho tělem jako pečetí,
celou tu jedinou noc cítit, že mne miluje…"
45,Když mi scházíš,pátek 5. dubna 2013,"Když mi scházíš,
po kapsách nosím pilulky zapomnění.
Polykám po hrstech ty malé bobulky
a k ničemu to není.

Tiše si střádám slovíčka – malé kapky,
abych je pršela jako déšť do Tvých uší,
až budem spolu. Však náhle vyschne mi v krku,
když zašeptáš, že mi to sluší."
46,Vzdušné zámky,úterý 2. dubna 2013,"Ve dne pod stejným sluncem žhavým,

v noci pod tajemnými hvězdami,

já vzdušné zámky na břehu si stavím,

Ty pod napnutými plachtami.

S večerem smutek mě přepadá,

jsi pro mě veliká záhada.

Hebké rty voňavé po moři…

čekám, až mé srdce pokoříš.

Čekám tu na břehu schoulená

až obejmeš pevně má ramena

zády se opřu o Tvou horkou hruď

jen prosím, ještě chvíli se mnou buď….."
47,Maják,středa 10. dubna 2013,"Jak maják v rozbouřeném moři
námořníky varuji i lákám.
V mém srdci oheň hoří,
vysílá nocí signál dálkám.

V neklidném večeru bezhvězdném
Tvoje loď blízko ztroskotala,
Tys bojoval a plaval jsi až sem,
kde nad hladinu vystupuje skála.

Nesměle otevřel jsi staré dveře
a obsadil mou opuštěnou věž,
dal vale věčné nedůvěře,
večer co večer šeptal jsi mi: ""věř""

Buď navěky mým společníkem,
skála pod mořem je podemletá.
Jsem majákem, Ty trosečníkem,
my dva jsme spolu duší světa."
48,Malá lež,neděle 21. dubna 2013,"Když jsem šla ráno k Tobě,
usedl motýl do mých vlasů –
babočka kopřivová.

Miluji v téhle roční době
letních hlasů
přilétnout za Tebou zas a znova,

nechat se líbat
Tvými ústy,
nechat se laskat
Tvými prsty…
…
Že mě tou lží ústa nezebou,
dech se tají.
Tak brzy, jak já chodím za Tebou,
babočky nelétají…"
49,Přijď,středa 17. dubna 2013,"Přijď, Lásko, za oknem hoří svíčka,
ležím tu sama, zavřená víčka,
plamínek moje verše stráví
a marně čekám na Tvé zprávy.

Umírám denně a bez Tebe to bolí,
mám srdce v kleštích, sevření nepovolí.
Jsi perla vylovená z mořských hlubin,
léčivý kámen, tajemný rudý rubín.

Tvé prsty tančí v mých vlasech jako ve strunách,
když nejsi se mnou, cítím strach,
mé prázdné dlaně v nočním šeru zebou..
sevři je ve svých.. ach..zestárnout s Tebou…"
50,Prší,pátek 12. dubna 2013,"Když je mi smutno, pláčou mraky,
smáčí lán obilí a vlaštovkám fraky.
Nocí se nese smutné cinkání,
to slzy – mé kapky – něžně vyzvání.
K ránu pak vánek pole osuší
a vlaštovky se koupou v kalužích.."
51,Sídliště,středa 10. dubna 2013,"V noci
bez Tebe
otevřu okno dokořán
ať slyším chodit
kapky po římsách
nad sídliště se
vznesl kormorán
už dávno přišel jeho čas
pták snů vzlétne
vždycky po večeři
pak jeho křídla
dotknou se Tvých řas
pohladí Tvoje víčka
a načechrá si peří
na němž se třpytí
vůně cizí země
a ten pták cítí,
ten pták věří,
že ve Tvém snu jsem já,
že jsem tam s Tebou
a Ty
dotkneš se mě…"
52,V klíně,středa 3. dubna 2013,"Píšeš si něco v telefonu,
já se Ti schoulím do klína
a po tom celodenním shonu
s Tvými prsty ve vlasech… usínám."
53,Taxikář,úterý 30. dubna 2013,"Dala bych království jen pro Tvůj smích
Vyvěrá z hloubky větší než řeky pramen
Je jako koncert slavíků ve větvích
Hebce mě objímá kolem ramen

Nauč mě životu, lásce, smíchu,
Obklop mě něhou, umím jak kotě příst
Nauč mě splynout v nočním tichu
Budu Ti s úplňkem potichu verše číst

Nemohu platit zlatými pruty
Jen svoje srdce v dlaních mám
Řekni, že stačí to, nebuď krutý
Vezmi mě, lásko – ke hvězdám…"
54,Usínání,sobota 13. dubna 2013,"Lásko má, nemůžu usnout
bez Tebe.
Dívám se temným oknem
do nebe,
zda neuvidím kometu,
abych si mohla snít svá přání
při její výpravě dlouhého doletu
a při mém usínání.

Vím, že když si tak po papíře
s kometou poletuji,
tak Ty si myslíš, že
své řádky opisuji.
Věř mi a dýchej zlehka, tiše,
ať slyšíš, co moje srdce
na papír tužkou píše.

A dneska zpod peřin
dívej se do noci –
ať i Ty vidíš
hvězdné zrcadlení.
Potom lež a hlavně
neusínej,
nebo se probudíš
s očima,
v nichž to není."
55,Úsměv,úterý 16. dubna 2013,"Probuď se, lásko, nespi už,
po nebi se rozpíjí černá tuš
a v ní se třpytí kapky rosy,
co každý večer vzpomenou si,
kde nechalo je chladné ráno,
když měl jsi ještě rozespáno…

Otevřeš okno – tma je tu,
můžeš si teď co chceš přát.
Copak nevidíš kometu
bláznivou rychlostí se hnát?
Vítr Tě polechtá po tváři
zabořené v bílém polštáři
a Ty se usmíváš…
a víš, že když Ti bude zima na nohy,
přikryju Tě kusem oblohy…"
56,Bludný Holanďan,neděle 5. května 2013,"Ve chvílích, kdy bezesná noc je nedočkavá rána,

na obzoru spatřila jsem Bludného Holanďana.

Rychle se blížil, rozrážel vlny pevnou přídí,

na stožár vlajku vyvěsil – znamení, že mě vidí.

Kapitán složil triedr do klína,

hlavou mi probleskla myšlenka jediná

– spoutanou poručil hodit do podpalubí –

co mě neposílí, to mě zahubí.

Já, někde za rozumem, v duchu volám Tebe,

v děravé palubě nad hlavou hvězdné nebe

jak temný oceán plný orionů.

Loď skřípe doprovod k mému skonu."
57,Jeřabiny,neděle 26. května 2013,"Slunce dnes vyšlo si nalehko bez svetru
Našla jsem pírko ztracené ve větru
Chytla jsem toho zoufalce za letu
Život můj se mnou hraje si ruletu.

Láska, ta královna, stařenka unavená
Sedla si u cesty
Když jsem šla kolem, strhla mě na kolena
Přes moje protesty

Srdce mi pro Tebe sladce krvácí
Však vím, jak láska snadno se vytrácí
Než zvednu své oči od novin
Opadne Tvůj cit jak korálky jeřabin

""Ty hloupá, nezoufej, je to dar""
I když mi zbude jen řádků pár…
Jednou si budu číst Tvoje dopisy
Polibky z dálky – ze kdysi…"
58,Moře,pátek 3. května 2013,"Ve chvíli, kdy má hlava klesá na polštář,
noc otevírá zbrusu nový snář,
pokřiku racků bude pln
a mořských panen nořících se z vln.

Hladina třpytí se a pomalu se houpá
a každá sedmá vlna víc než jiné stoupá,
na jedné sedmé v spleti mořských řas
leskne se láhev a v ní vzkaz.

Vlna jej hebce přikutálí k zemi,
ten rukopis já poznám mezi všemi.
Tím písmem na Měsíci měsíční prach smýváš
otvírám oči, usmívám se a Ty se na mě díváš.."
59,Padlí andělé,pondělí 20. května 2013,"Ještě Tě cítím na rtech
Ještě mi za krkem víří Tvůj dech
Z hlavně koltu stoupá dým
Tvé tělo přikryté tím mým…
Jsme andělé… ohrožený druh
Ještě se vlní vzduch
Ještě vím, jakou má Tvá kůže chuť
Krev proudí mi v žilách jako rtuť
Nic nezastaví náš pád z nebe
Nezasloužíš si mě, nezasloužím si sebe…"
60,Propast,čtvrtek 9. května 2013,"Nad bezednou propastí
mrkají hvězdy bez účasti
mé srdce na misce vah
slzy jak hrách
se koulejí po tvářích
a nesmývají hřích

Nové světy se nerodí
vysychá i slz povodí
cesty jsou samé bláto
v srdci jen prach, žádné zlato
vlastní myšlenky jsou kuší
zacílí přesně a zabíjí mou duši"
61,Rána,čtvrtek 23. května 2013,"Sedáme spolu za svítání
tiše nad vonící kávou
šálky nás hřejí v dlaních
a rána voní travou

Jitra s Tebou jsou plná kouzel
v zahradě tančí víla
dívám se do Tvých očí dlouze
s nikým bych neměnila"
62,Sním,úterý 7. května 2013,"Sním si tu o Tvých očích,
ve kterých hoří plamen,
sním si tu za stolem
o Tvé chůzi a držení ramen.
Sním si tu o Tvých
dlaních plných vánku.
Sním si tu za stolem..
… sním si marokánku."
63,Trumpety,pátek 17. května 2013,"Andělé k večeru zatroubí
na svoje andělské trumpety
měsíční paprsek polštáře obroubí
a peřiny hvězdami budou posety"
